TIME_PERIOD,geo,energy
1999,LU,9.81E+04
1999,LV,2.10E+05
1999,MT,8.78E+04
1999,NL,4.73E+06
1999,PL,4.48E+06
1999,PT,1.06E+06
1999,RO,1.39E+06
1999,SE,1.71E+06
1999,SI,2.94E+05
1999,SK,8.77E+05
1999,GB,1.28E+07
1999,US,9.36E+07
1999,JP,1.87E+07
1999,CN,4.14E+07
1999,CA,1.51E+07
1999,KR,5.26E+06
1999,BR,7.06E+06
1999,IN,1.89E+07
1999,MX,7.70E+06
1999,RU,6.64E+06
1999,AU,1.14E+07
1999,CH,2.02E+06
1999,TR,3.89E+06
1999,TW,2.86E+06
1999,NO,3.89E+06
1999,ID,6.38E+06
1999,ZA,3.76E+06
1999,WA,2.38E+07
1999,WL,1.39E+07
1999,WE,3.79E+06
1999,WF,1.81E+07
1999,WM,1.69E+07
2000,AT,1.25E+06
2000,BE,2.08E+06
2000,BG,4.16E+05
2000,CY,6.86E+05
2000,CZ,2.48E+06
2000,DE,1.35E+07
2000,DK,1.47E+06
2000,EE,2.36E+05
2000,ES,5.83E+06
2000,FI,1.77E+06
2000,FR,1.04E+07
2000,GR,1.93E+06
2000,HR,6.55E+05
2000,HU,2.71E+06
2000,IE,9.38E+05
2000,IT,9.52E+06
2000,LT,3.86E+05
2000,LU,1.36E+05
2000,LV,2.44E+05
2000,MT,1.13E+05
2000,NL,4.46E+06
2000,PL,5.52E+06
2000,PT,1.18E+06
2000,RO,1.18E+06
2000,SE,2.49E+06
2000,SI,3.94E+05
2000,SK,1.84E+06
2000,GB,1.26E+07
2000,US,1.07E+08
2000,JP,2.21E+07
2000,CN,4.30E+07
2000,CA,1.10E+07
2000,KR,7.18E+06
2000,BR,7.70E+06
2000,IN,1.64E+07
2000,MX,8.05E+06
2000,RU,6.78E+06
2000,AU,1.21E+07
2000,CH,2.12E+06
2000,TR,3.46E+06
2000,TW,3.86E+06
2000,NO,2.90E+06
2000,ID,6.52E+06
2000,ZA,3.16E+06
2000,WA,2.06E+07
2000,WL,1.31E+07
2000,WE,4.61E+06
2000,WF,1.61E+07
2000,WM,1.54E+07
2001,AT,1.27E+06
2001,BE,2.42E+06
2001,BG,3.94E+05
2001,CY,6.43E+05
2001,CZ,2.36E+06
2001,DE,1.24E+07
2001,DK,1.42E+06
2001,EE,2.99E+05
2001,ES,5.63E+06
2001,FI,1.83E+06
2001,FR,1.09E+07
2001,GR,1.93E+06
2001,HR,6.69E+05
2001,HU,2.48E+06
2001,IE,8.34E+05
2001,IT,9.00E+06
2001,LT,3.52E+05
2001,LU,1.75E+05
2001,LV,3.15E+05
2001,MT,8.20E+04
2001,NL,5.83E+06
2001,PL,5.52E+06
2001,PT,1.15E+06
2001,RO,1.17E+06
2001,SE,2.51E+06
2001,SI,3.51E+05
2001,SK,1.55E+06
2001,GB,1.33E+07
2001,US,1.06E+08
